ogc_fid,zone_label,zone,zone_id,region,corporatio,elev_mean,elev_min
1,XIII,"13",18885,South,Chennai,9.17359660199747,-8
2,XV,"15",18886,South,Chennai,3.26520770711243,-8
3,XIV,"14",18884,South,Chennai,4.02541966426859,-7
4,IX,"09",18880,Central,Chennai,11.1397611676249,-7
5,VIII,"08",18879,Central,Chennai,12.5948922468991,-2
7,VII,"07",18878,Central,Chennai,16.3764417531719,-5
8,XII,"12",18883,South,Chennai,12.4246718444838,-3
9,VI,"06",18877,Central,Chennai,9.59263260235497,-1
10,XI,"11",18882,South,Chennai,14.3409229766608,3
11,V,"05",18876,North,Chennai,8.61228671982893,-11
12,X,"10",18881,Central,Chennai,13.136000662005,0
13,IV,"04",18875,North,Chennai,6.44238683127572,-7
6,II,"02",18873,North,Chennai,4.55654533914071,-18
14,I,"01",18872,North,Chennai,5.2723313211584,-26
15,III,"03",18874,North,Chennai,10.3128123713765,-7
